name,kind,reference,residual,verdict
U_q_q/delta,symbolic equality,2311.00672v2 Eq.114,0,PASS
U_q_q/plus0,symbolic equality,2311.00672v2 Eq.114,0,PASS
U_q_q/plus1,symbolic equality,2311.00672v2 Eq.114,0,PASS
U_q_q/regular,symbolic equality,2311.00672v2 Eq.114,0,PASS
U_q_g/delta,symbolic equality,2311.00672v2 Eq.115,0,PASS
U_q_g/plus0,symbolic equality,2311.00672v2 Eq.115,0,PASS
U_q_g/plus1,symbolic equality,2311.00672v2 Eq.115,0,PASS
U_q_g/regular,symbolic equality,2311.00672v2 Eq.115,0,PASS
U_g_q/delta,symbolic equality,2311.00672v2 Eq.117,0,PASS
U_g_q/plus0,symbolic equality,2311.00672v2 Eq.117,0,PASS
U_g_q/plus1,symbolic equality,2311.00672v2 Eq.117,0,PASS
U_g_q/regular,symbolic equality,2311.00672v2 Eq.117,0,PASS
U_g_g/delta,symbolic equality,2311.00672v2 Eq.116,0,PASS
U_g_g/plus0,symbolic equality,2311.00672v2 Eq.116,0,PASS
U_g_g/plus1,symbolic equality,2311.00672v2 Eq.116,0,PASS
U_g_g/regular,symbolic equality,2311.00672v2 Eq.116,0,PASS
T_q_q/delta,symbolic equality,2311.00672v2 Eq.126,0,PASS
T_q_q/plus0,symbolic equality,2311.00672v2 Eq.126,0,PASS
T_q_q/plus1,symbolic equality,2311.00672v2 Eq.126,0,PASS
T_q_q/regular,symbolic equality,2311.00672v2 Eq.126,0,PASS
U_q_q/mu derivative/delta,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_q/mu derivative/plus0,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_q/mu derivative/plus1,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_q/mu derivative/regular,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_g/mu derivative/delta,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_g/mu derivative/plus0,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_g/mu derivative/plus1,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_g/mu derivative/regular,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_q/mu derivative/delta,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_q/mu derivative/plus0,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_q/mu derivative/plus1,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_q/mu derivative/regular,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_g/mu derivative/delta,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_g/mu derivative/plus0,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_g/mu derivative/plus1,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_g_g/mu derivative/regular,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
T_q_q/mu derivative/delta,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
T_q_q/mu derivative/plus0,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
T_q_q/mu derivative/plus1,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
T_q_q/mu derivative/regular,symbolic equality,"2311.00672v2 Eqs.130-133,138",0,PASS
U_q_q/test action z^1,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_q_q/test action z^2,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_q_q/test action z^3,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_q_g/test action z^1,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_q_g/test action z^2,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_q_g/test action z^3,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_g_q/test action z^1,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_g_q/test action z^2,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_g_q/test action z^3,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_g_g/test action z^1,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_g_g/test action z^2,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
U_g_g/test action z^3,exact distribution action,"2311.00672v2 Eqs.114-117,126",0,PASS
