"id","group","status","left","right","residual","scaled_residual","tolerance","notes"
"soft_reassembly/r03/soft_standard","native_saved_reassembly","EXACT","-(Bq^2*CF) + (2*CF)/eps^2 - (4*Bq*CF)/eta - (4*CF)/(eps*eta) - (CF*Pi^2)/6 + 2*Bq*CF*V + (2*CF*V)/eps","-(Bq^2*CF) + (2*CF)/eps^2 - (4*Bq*CF)/eta - (4*CF)/(eps*eta) - (CF*Pi^2)/6 + 2*Bq*CF*V + (2*CF*V)/eps","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/soft_global","native_saved_reassembly","EXACT","(2*CF)/eps^2 + (Bq*CF)/eps - (2*Bq*CF)/eta - (2*CF)/(eps*eta) - (CF*Pi^2)/6 + Bq*CF*V + (CF*V)/eps + 2*Bq*CF*Y + (2*CF*Y)/eps","(2*CF)/eps^2 + (Bq*CF)/eps - (2*Bq*CF)/eta - (2*CF)/(eps*eta) - (CF*Pi^2)/6 + Bq*CF*V + (CF*V)/eps + 2*Bq*CF*Y + (2*CF*Y)/eps","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/soft_injet","native_saved_reassembly","EXACT","-1/2*(Bh^2*CF) + CF/eps^2 - (2*Bh*CF)/eta - (2*CF)/(eps*eta) - Bh*CF*g - (CF*g)/eps - (CF*Pi^2)/12 + Bh*CF*V + (CF*V)/eps","-1/2*(Bh^2*CF) + CF/eps^2 - (2*Bh*CF)/eta - (2*CF)/(eps*eta) - Bh*CF*g - (CF*g)/eps - (CF*Pi^2)/12 + Bh*CF*V + (CF*V)/eps","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/soft_cs_out","native_saved_reassembly","EXACT","-1/2*(Bq^2*CF) - CF/eps^2 - (Bq*CF)/eps + (CF*Pi^2)/12 + Bq*CF*r + (CF*r)/eps - (CF*r^2)/2","-1/2*(Bq^2*CF) - CF/eps^2 - (Bq*CF)/eps + (CF*Pi^2)/12 + Bq*CF*r + (CF*r)/eps - (CF*r^2)/2","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/recoil_soft_bare","native_saved_reassembly","EXACT","Bq*CF*r + (CF*r)/eps - (CF*r^2)/2 + 2*Bq*CF*Y + (2*CF*Y)/eps","Bq*CF*r + (CF*r)/eps - (CF*r^2)/2 + 2*Bq*CF*Y + (2*CF*Y)/eps","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/recoil_soft_finite","native_saved_reassembly","EXACT","Bq*CF*r - (CF*r^2)/2 + 2*Bq*CF*Y","Bq*CF*r - (CF*r^2)/2 + 2*Bq*CF*Y","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/jet_common_overlap","native_saved_reassembly","EXACT","-1/2*(Bh^2*CF) + CF/eps^2 - (2*Bh*CF)/eta - (2*CF)/(eps*eta) - Bh*CF*g - (CF*g)/eps - (CF*Pi^2)/12 + Bh*CF*V + (CF*V)/eps","-1/2*(Bh^2*CF) + CF/eps^2 - (2*Bh*CF)/eta - (2*CF)/(eps*eta) - Bh*CF*g - (CF*g)/eps - (CF*Pi^2)/12 + Bh*CF*V + (CF*V)/eps","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/jet_comparison_bare","native_saved_reassembly","EXACT","-1/2*(B^2*CF) + CF/eps^2 - (2*B*CF)/eta - (2*CF)/(eps*eta) - (CF*Pi^2)/12","-1/2*(B^2*CF) + CF/eps^2 - (2*B*CF)/eta - (2*CF)/(eps*eta) - (CF*Pi^2)/12","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/jet_comparison_overlap","native_saved_reassembly","EXACT","-1/2*(B^2*CF) + CF/eps^2 - (2*B*CF)/eta - (2*CF)/(eps*eta) - (CF*Pi^2)/12","-1/2*(B^2*CF) + CF/eps^2 - (2*B*CF)/eta - (2*CF)/(eps*eta) - (CF*Pi^2)/12","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/jet_UU_bare_remainder","native_saved_reassembly","EXACT","0","0","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_reassembly/r03/jet_UT_bare_remainder","native_saved_reassembly","EXACT","0","0","0","0","0 (symbolic)","Fresh native RUSoftCoefficientAssembly, saved sphere and angular/Fourier factors; not a new cut integral."
"soft_shift_with_poles","soft_separation","EXACT","-1/2*(Bh^2*CF) + CF/eps^2 - (2*Bh*CF)/eta - (2*CF)/(eps*eta) - Bh*CF*g - (CF*g)/eps - (CF*Pi^2)/12 + Bh*CF*V + (CF*V)/eps","(-(Bh^2*CF) + (2*CF)/eps^2 - (4*Bh*CF)/eta - (4*CF)/(eps*eta) - (CF*Pi^2)/6 + 2*Bh*CF*(-g + V) + (2*CF*(-g + V))/eps)/2","0","0","0 (symbolic)","eta before eps; poles retained; Bh and Bq refer to different Fourier momenta."
"soft_rapidity_native","soft_separation","EXACT","-2*Bh*CF","-2*Bh*CF","0","0","0 (symbolic)",""
"soft_plus_unsubtracted_TMD","soft_separation","EXACT","0","0","0","0","0 (symbolic)",""
"local_zetaJ","conventions","EXACT","pJT^2*R^2","pJT^2*R^2","0","0","0 (symbolic)",""
