id,old_status,new_status,old_residual,new_residual,values_residuals_status_tolerance_unchanged,explicit_auxiliary_correction,check
Gaussian_forward_C,EXACT,EXACT,0,0,True,False,PASS
Gaussian_forward_U,EXACT,EXACT,0,0,True,False,PASS
Gaussian_inverse_T,EXACT,EXACT,0,0,True,False,PASS
Gaussian_inverse_U,EXACT,EXACT,0,0,True,False,PASS
HF_inner/1/primitive,EXACT,EXACT,0,0,True,False,PASS
HF_inner/1/sample1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.188809356849895,0``62.188809356849895,True,False,PASS
HF_inner/1/sample2,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.385262604711265,0``62.385262604711265,True,False,PASS
HF_inner/2/primitive,EXACT,EXACT,0,0,True,False,PASS
HF_inner/2/sample1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.20218166553632,0``62.20218166553632,True,False,PASS
HF_inner/2/sample2,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.136801575829395,0``62.136801575829395,True,False,PASS
HF_inner/3/primitive,EXACT,EXACT,0,0,True,False,PASS
HF_inner/3/sample1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.43991282831707,0``62.43991282831707,True,False,PASS
HF_inner/3/sample2,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.77123198137978,0``62.77123198137978,True,False,PASS
HF_inner/4/primitive,EXACT,EXACT,0,0,True,False,PASS
HF_inner/4/sample1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.61372446977247,0``62.61372446977247,True,False,PASS
HF_inner/4/sample2,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.71408895370937,0``62.71408895370937,True,False,PASS
HF_inner/5/primitive,EXACT,EXACT,0,0,True,False,PASS
HF_inner/5/sample1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.83973770940477,0``62.83973770940477,True,False,PASS
HF_inner/5/sample2,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``63.26921660114809,0``63.26921660114809,True,False,PASS
HF_inner/6/primitive,EXACT,EXACT,0,0,True,False,PASS
HF_inner/6/sample1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``63.221391156857294,0``63.221391156857294,True,False,PASS
HF_inner/6/sample2,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``63.4430282426035,0``63.4430282426035,True,False,PASS
HF_test_endpoint_derivative,EXACT,EXACT,0,0,True,False,PASS
HF_test_endpoint_value,EXACT,EXACT,0,0,True,False,PASS
analyzer_local_sine,EXACT,EXACT,0,0,True,False,PASS
auxiliary_distribution_helper/Tqq,DISCREPANCY,EXACT,2*CF*(2 + L),0,False,True,PASS
auxiliary_distribution_helper/Uqq,DISCREPANCY,EXACT,(CF*(8 + 3*L))/2,0,False,True,PASS
ep_isolated_fragmentation_T1,EXACT,EXACT,0,0,True,False,PASS
ep_isolated_fragmentation_U1,EXACT,EXACT,0,0,True,False,PASS
highpt_fragmentation_order,EXACT,EXACT,0,0,True,False,PASS
jet_test/Tqq/1,EXACT,EXACT,0,0,True,False,PASS
jet_test/Tqq/2,EXACT,EXACT,0,0,True,False,PASS
jet_test/Tqq/3,EXACT,EXACT,0,0,True,False,PASS
jet_test/Uqq/1,EXACT,EXACT,0,0,True,False,PASS
jet_test/Uqq/2,EXACT,EXACT,0,0,True,False,PASS
jet_test/Uqq/3,EXACT,EXACT,0,0,True,False,PASS
k1/UT0,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``67.020649987054,0``67.020649987054,True,False,PASS
k1/UT1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``65.9065580764457,0``65.9065580764457,True,False,PASS
k1/UU0,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``63.37325860961161,0``63.37325860961161,True,False,PASS
k1/UU1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``62.263484157480235,0``62.263484157480235,True,False,PASS
k1/physical_Tqq,EXPECTED_NONZERO_DIFFERENCE,EXPECTED_NONZERO_DIFFERENCE,0``65.53473210070332,0``65.53473210070332,True,False,PASS
k1/physical_Uqq,EXPECTED_NONZERO_DIFFERENCE,EXPECTED_NONZERO_DIFFERENCE,0``62.054333657221285,0``62.054333657221285,True,False,PASS
k1/recoil_separate,EXPECTED_NONZERO_DIFFERENCE,EXPECTED_NONZERO_DIFFERENCE,0``59.27249217715937,0``59.27249217715937,True,False,PASS
k2/UT0,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``67.83434439959002,0``67.83434439959002,True,False,PASS
k2/UT1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``67.71156833695923,0``67.71156833695923,True,False,PASS
k2/UU0,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``63.99319176707684,0``63.99319176707684,True,False,PASS
k2/UU1,NUMERICAL_AGREEMENT,NUMERICAL_AGREEMENT,0``63.533724888242666,0``63.533724888242666,True,False,PASS
k2/physical_Tqq,EXPECTED_NONZERO_DIFFERENCE,EXPECTED_NONZERO_DIFFERENCE,0``66.24655034825787,0``66.24655034825787,True,False,PASS
k2/physical_Uqq,EXPECTED_NONZERO_DIFFERENCE,EXPECTED_NONZERO_DIFFERENCE,0``62.45749379532892,0``62.45749379532892,True,False,PASS
